S.NO,Date,Entity,Code,Oil Consumption - EJ,Gas Consumption - EJ,Coal Consumption - EJ,Hydro Consumption - EJ,Nuclear Consumption - EJ,Annual CO2 emissions per unit energy (kg per kilowatt-hour)
1,01-01-2010,India,IND,146.99525,2.3725218,413.40768,53.241536,0.0132838,0.249
2,02-01-2010,India,IND,164.1498,2.6632721,412.41569,55.59855,0.6337317,0.251
3,03-01-2010,India,IND,169.36036,3.5587828,419.28558,62.21538,1.7007466,0.244
4,04-01-2010,India,IND,189.77104,3.9542031,433.82506,71.803031,1.5657092,0.249
5,05-01-2010,India,IND,227.92901,4.7450437,460.84157,79.721129,2.0132838,0.229
6,06-01-2010,India,IND,226.89162,6.3284712,436.80922,84.545644,3.6337317,0.239
7,07-01-2010,India,IND,243.3326,6.7062241,442.87255,92.733817,2.7007466,0.243
8,08-01-2010,India,IND,262.38346,7.3559121,467.6834,90.008518,2.5657092,0.244
9,09-01-2010,India,IND,276.95929,7.3366621,461.44977,95.851952,5.4260454,0.247
10,10-01-2010,India,IND,271.54317,8.3039753,520.85651,92.230496,4.9963812,0.24
11,11-01-2010,India,IND,278.09305,10.6308,559.90665,110.19046,5.9539186,0.243
12,12-01-2010,India,IND,293.25892,12.914354,583.03529,115.27277,7.377948,0.242
13,13-01-2010,India,IND,315.04428,13.792636,610.34665,125.76885,5.1436946,0.242
14,14-01-2010,India,IND,342.374,15.404824,590.66458,156.04177,6.2853739,0.237
15,15-01-2010,India,IND,369.47305,19.158577,627.49338,150.46841,6.5186202,0.235
16,16-01-2010,India,IND,376.81647,11.33104,659.56551,154.00393,6.8009709,0.241
17,17-01-2010,India,IND,405.6556,19.781797,742.143,164.11946,6.850075,0.235
18,18-01-2010,India,IND,422.65667,25.934583,733.90461,138.49919,5.990747,0.245
19,19-01-2010,India,IND,444.3533,30.857774,779.04867,133.45371,8.5441801,0.252
20,20-01-2010,India,IND,477.06741,35.340622,818.31148,149.118,11.220374,0.242
21,21-01-2010,India,IND,517.6362,43.228315,857.39776,143.92524,12.521643,0.252
22,22-01-2010,India,IND,544.25989,60.400292,921.24079,146.02445,13.945673,0.253
23,23-01-2010,India,IND,561.76722,69.577063,1011.6306,136.00714,14.78044,0.254
24,24-01-2010,India,IND,616.50128,81.50495,1085.5582,151.7083,16.879666,0.252
25,25-01-2010,India,IND,667.77317,96.904673,1179.942,176.0272,11.17127,0.253
26,26-01-2010,India,IND,693.53732,115.92744,1276.0261,184.43644,17.763546,0.252
27,27-01-2010,India,IND,704.79804,129.10812,1357.8787,205.33039,15.038248,0.255
28,28-01-2010,India,IND,741.82693,144.34701,1438.2577,194.61334,17.788099,0.258
29,29-01-2010,India,IND,749.62829,146.67096,1489.6265,196.47931,17.297054,0.26
30,30-01-2010,India,IND,805.07007,158.5693,1537.2883,222.81159,13.736979,0.261
31,31-01-2010,India,IND,897.83953,180.77843,1631.6147,210.89148,21.151756,0.258
32,01-02-2010,India,IND,969.20807,197.31737,1678.483,191.82666,23.336905,0.269
33,02-02-2010,India,IND,1036.2613,214.5265,1755.9248,195.03073,27.97727,0.265
34,03-02-2010,India,IND,1109.9131,235.42893,1814.3417,232.31331,31.586459,0.255
35,04-02-2010,India,IND,1211.4325,241.2338,1797.316,228.47088,35.355228,0.27
36,05-02-2010,India,IND,1273.5222,253.62713,1911.7929,213.8623,43.801199,0.264
37,06-02-2010,India,IND,1280.5434,254.27768,1927.7267,198.76482,52.127438,0.266
38,07-02-2010,India,IND,1364.8846,265.54433,2013.4577,187.94582,53.063493,0.262
39,08-02-2010,India,IND,1400.5102,284.26921,2108.8195,188.78785,49.424371,0.261
40,09-02-2010,India,IND,1437.8411,306.69163,2243.5303,272.42251,57.540173,0.259
41,10-02-2010,India,IND,1464.2461,343.25664,2456.1153,262.0476,47.683424,0.257
42,11-02-2010,India,IND,1538.3931,358.7721,2550.4281,301.02141,47.128955,0.26
43,12-02-2010,India,IND,1653.9789,388.10291,2791.5727,325.6913,47.365703,0.258
